Trial #,Terrain Type,Time to End,sd of acc_x,sd of acc_y,sd of acc_z,sd of rotation rate around x,sd of rotation rate around y,sd of rotation rate around z,sd_velocity,total_velocity
12,tile,8.7,0.08858837443083445,0.09074916312180568,0.10205945850224087,4.374657459050611,8.457841021318039,4.429480829351421,77.32536323424519,60.22988505747127
12,tile,19.95,0.08644452123178144,0.09339442477374978,0.11317352639549574,4.409377801707593,8.164332615083852,4.729845746607048,48.0910778479055,65.6140350877193
2,tile,20.61,0.09263913896920163,0.09109062950527175,0.10137035620328815,4.984405696225015,8.889770566877818,4.894938257392281,37.65250080032918,69.5778748180495
3,tile,20.87,0.08879578496189959,0.09726484400526667,0.10812398250808042,4.801917999233947,8.189260474531768,4.998182545416881,45.49494856640232,73.21514135122185
20,tile,20.72,0.08725044375675797,0.09471379897411623,0.10982581807669359,4.798348362047578,8.772498692401978,4.817166198924775,30.48960294628283,73.55212355212356
25,tile,19.86,0.08427309940888407,0.08459907320409854,0.10431212573038173,4.283161494089106,8.555635410893947,4.814752948326395,42.87651577812205,76.83786505538771
19,tile,19.95,0.085331238775926,0.08712621175803646,0.10327665906873566,4.358815680525185,8.42239329832889,4.675099638547238,40.02930952816667,76.39097744360903
26,tile,19.89,0.08771553828544311,0.08998584166770615,0.111757021057903,4.520458123075278,8.314983885472252,4.784999164060722,42.44051152211996,77.37556561085972
24,tile,20.66,0.08857077341068888,0.08611157186040319,0.10525109486379525,4.611632843494545,9.682301239575203,5.3922220707083,33.70992812206378,73.81413359148112
14,tile,20.67,0.0897834016072193,0.08587407828602768,0.10333175905638325,4.486566712281256,8.4597943091385,4.87341027559076,34.90361437714681,73.68166424770197
28,tile,19.95,0.0851024014106261,0.09195464993209397,0.09656203200992869,4.326832559685185,8.297468596272417,4.733136917007215,23.950906395369746,76.44110275689223
10,tile,19.96,0.09046063203412402,0.0926031208362753,0.10648031060364702,4.581233306524588,8.39836037138095,4.705757992693237,38.693325163764314,76.65330661322645
7,tile,20.67,0.08972254296290137,0.08835048945234525,0.10227090657403316,4.486685374235249,8.301580167632375,4.957672566602593,31.88684609408801,73.97194000967585
15,tile,20.76,0.09046307112669913,0.08603767617397137,0.10912610646335309,4.408043519370339,8.592279790438445,5.153746338986756,46.920210480866686,62.90944123314065
1,tile,19.99,0.090709819240596,0.09071157944418165,0.12020864538241777,5.005339050275409,8.413639642254383,4.9842134936191895,80.18643765451033,44.57228614307154
30,tile,20.61,0.08665113291784758,0.08708871553722483,0.10145007281858691,4.367836892835499,8.376548047404045,4.8523194192298424,30.64612108079979,74.23580786026201
